identifier,term_nr,term,statistic,value,method,notes
M1,,,mean of the differences,-2.77,Paired t-test,two.sided test
M1,,,t,-1.2614135101220725,Paired t-test,two.sided test
M1,,,df,99,Paired t-test,two.sided test
M1,,,p,0.21012409856754036,Paired t-test,two.sided test
M1,,,95% CI lower,-7.127239645675331,Paired t-test,two.sided test
M1,,,95% CI upper,1.5872396456753317,Paired t-test,two.sided test
M1,,,null value,0,Paired t-test,two.sided test
M2,,,cor,-0.026879420938289444,Pearson's product-moment correlation,greater test
M2,,,t,-0.37836368795020703,Pearson's product-moment correlation,greater test
M2,,,df,198,Pearson's product-moment correlation,greater test
M2,,,p,0.647217103061322,Pearson's product-moment correlation,greater test
M2,,,95% CI lower,-0.14308815181352788,Pearson's product-moment correlation,greater test
M2,,,95% CI upper,1,Pearson's product-moment correlation,greater test
M2,,,null value,0,Pearson's product-moment correlation,greater test
M3,1,(Intercept),b,29.446653361989746,Linear regression,
M3,1,(Intercept),SE,9.931119167963804,Linear regression,
M3,1,(Intercept),t,2.965089116741235,Linear regression,
M3,1,(Intercept),p,0.0034016550527776255,Linear regression,
M3,1,(Intercept),df,196,Linear regression,
M3,2,conditionmortality salience,b,20.294597409015044,Linear regression,
M3,2,conditionmortality salience,SE,14.019396230732603,Linear regression,
M3,2,conditionmortality salience,t,1.4476085185841503,Linear regression,
M3,2,conditionmortality salience,p,0.1493241796312979,Linear regression,
M3,2,conditionmortality salience,df,196,Linear regression,
M3,3,anxiety,b,-1.5511206631870076,Linear regression,
M3,3,anxiety,SE,3.0119375854588104,Linear regression,
M3,3,anxiety,t,-0.5149909714847973,Linear regression,
M3,3,anxiety,p,0.6071396232951569,Linear regression,
M3,3,anxiety,df,196,Linear regression,
M3,4,conditionmortality salience:anxiety,b,-5.566688878500832,Linear regression,
M3,4,conditionmortality salience:anxiety,SE,4.3104789125922105,Linear regression,
M3,4,conditionmortality salience:anxiety,t,-1.2914316463163416,Linear regression,
M3,4,conditionmortality salience:anxiety,p,0.19807495918324164,Linear regression,
M3,4,conditionmortality salience:anxiety,df,196,Linear regression,
M3,5,(Model),R squared,0.036024575555917406,Linear regression,
M3,5,(Model),adjusted R squared,0.021269849671569196,Linear regression,
M3,5,(Model),F,2.4415618316658962,Linear regression,
M3,5,(Model),numerator df,3,Linear regression,
M3,5,(Model),denominator df,196,Linear regression,
M3,5,(Model),p,0.06551503025610501,Linear regression,
M4,1,condition,df,1,ANOVA,
M4,1,condition,SS,383.6450000000016,ANOVA,
M4,1,condition,MS,383.6450000000016,ANOVA,
M4,1,condition,F,1.7299359906927627,ANOVA,
M4,1,condition,p,0.18995567834305857,ANOVA,
M4,2,sex,df,1,ANOVA,
M4,2,sex,SS,1140.4861329211765,ANOVA,
M4,2,sex,MS,1140.4861329211765,ANOVA,
M4,2,sex,F,5.142691832882861,ANOVA,
M4,2,sex,p,0.024435177917286468,ANOVA,
M4,3,condition:sex,df,1,ANOVA,
M4,3,condition:sex,SS,66.15296166149102,ANOVA,
M4,3,condition:sex,MS,66.15296166149102,ANOVA,
M4,3,condition:sex,F,0.2982976169874007,ANOVA,
M4,3,condition:sex,p,0.5855727748687267,ANOVA,
M4,4,Residuals,df,196,ANOVA,
M4,4,Residuals,SS,43466.59090541742,ANOVA,
M4,4,Residuals,MS,221.76832094600724,ANOVA,
